Year,Value
1880,-0.0934
1881,-0.0031
1882,-0.0364
1883,-0.1704
1884,-0.1775
1885,-0.2852
1886,-0.2119
1887,-0.2626
1888,-0.2456
1889,-0.0066
1890,-0.3405
1891,-0.2809
1892,-0.2591
1893,-0.404
1894,-0.2991
1895,-0.3047
1896,-0.1382
1897,-0.1019
1898,-0.3099
1899,-0.1983
1900,-0.0968
1901,-0.0968
1902,-0.207
1903,-0.2911
1904,-0.4822
1905,-0.3977
1906,-0.1695
1907,-0.3769
1908,-0.4451
1909,-0.4967
1910,-0.354
1911,-0.5108
1912,-0.2369
1913,-0.3829
1914,-0.1344
1915,-0.0683
1916,-0.2445
1917,-0.4056
1918,-0.2367
1919,-0.1702
1920,-0.1737
1921,-0.1619
1922,-0.2247
1923,-0.2692
1924,-0.1996
1925,-0.2257
1926,-0.0034
1927,-0.2034
1928,-0.191
1929,-0.3541
1930,-0.1744
1931,-0.1019
1932,-0.0926
1933,-0.2468
1934,-0.1464
1935,-0.1523
1936,-0.1979
1937,-0.0759
1938,-0.0216
1939,-0.1056
1940,0.0457
1941,0.1882
1942,0.1871
1943,0.0873
1944,0.3252
1945,0.1459
1946,0.0607
1947,-0.0445
1948,-0.0252
1949,-0.0398
1950,-0.1452
1951,-0.142
1952,0.0595
1953,0.1468
1954,-0.1481
1955,-0.1278
1956,-0.2143
1957,-0.0054
1958,0.1536
1959,0.1079
1960,-0.0172
1961,0.153
1962,0.1049
1963,0.0561
1964,-0.0934
1965,-0.1106
1966,-0.0244
1967,-0.0265
1968,-0.0539
1969,0.0558
1970,0.0998
1971,-0.1167
1972,-0.0437
1973,0.2716
1974,-0.0998
1975,0.0747
1976,-0.0982
1977,0.2305
1978,0.1273
1979,0.1634
1980,0.2961
1981,0.3582
1982,0.1501
1983,0.3802
1984,0.2163
1985,0.1425
1986,0.2761
1987,0.3331
1988,0.4386
1989,0.2828
1990,0.4717
1991,0.4481
1992,0.3746
1993,0.3585
1994,0.3073
1995,0.4887
1996,0.3423
1997,0.4442
1998,0.6928
1999,0.4698
2000,0.4896
2001,0.5322
2002,0.6651
2003,0.586
2004,0.5876
2005,0.6488
2006,0.5634
2007,0.6811
2008,0.4852
2009,0.6055
2010,0.762
2011,0.5676
2012,0.5832
2013,0.6275
2014,0.7121
2015,0.851
2016,1.0521
