Distance (m),Elevation (m)
0,-4555.2197265625
756.8391851140271,-4584.53076171875
1513.6783702280543,-4598.3603515625
2270.5175553420813,-4584.7587890625
3027.3567404561086,-4585.31884765625
3784.195925570136,-4594.01416015625
4541.035110684163,-4589.76708984375
5297.87429579819,-4597.14453125
6054.713480912217,-4598.09619140625
6811.552666026244,-4602.94091796875
7568.391851140272,-4614.0546875
8325.2310362543,-4615.3837890625
9082.070221368325,-4616.9814453125
9838.909406482353,-4624.1083984375
10595.74859159638,-4642.85400390625
11352.587776710407,-4658.7763671875
12109.426961824434,-4668.49267578125
12866.266146938462,-4665.900390625
13623.105332052488,-4684.01123046875
14379.944517166516,-4698.40087890625
15136.783702280543,-4690.69091796875
15893.62288739457,-4730.77734375
16650.4620725086,-4718.20166015625
17407.301257622625,-4729.041015625
18164.14044273665,-4753.66748046875
18920.97962785068,-4757.4736328125
19677.818812964706,-4748.77490234375
20434.657998078732,-4758.19091796875
21191.49718319276,-4754.96728515625
21948.336368306787,-4754.3955078125
22705.175553420813,-4753.2314453125
23462.014738534843,-4736.583984375
24218.85392364887,-4717.46240234375
24975.693108762895,-4696.05517578125
25732.532293876924,-4668.9599609375
26489.37147899095,-4670.5126953125
27246.210664104976,-4663.5390625
28003.049849219005,-4662.1875
28759.88903433303,-4666.7734375
29516.728219447057,-4686.76416015625
30273.567404561087,-4687.44287109375
31030.406589675113,-4696.9599609375
31787.24577478914,-4742.3193359375
32544.084959903168,-4744.88037109375
33300.9241450172,-4750.51708984375
34057.76333013122,-4752.083984375
34814.60251524525,-4754.6025390625
35571.441700359275,-4794.3720703125
36328.2808854733,-4816.1748046875
37085.12007058733,-4822.1904296875
37841.95925570136,-4821.40283203125
38598.798440815386,-4821.7001953125
39355.63762592941,-4812.08251953125
40112.47681104344,-4813.07470703125
40869.315996157464,-4810.47412109375
41626.15518127149,-4816.6884765625
42382.99436638552,-4816.04345703125
43139.83355149955,-4811.37646484375
43896.672736613575,-4792.21533203125
44653.5119217276,-4810.84326171875
45410.35110684163,-4803.23583984375
46167.19029195565,-4791.91650390625
46924.029477069686,-4787.76513671875
47680.86866218371,-4801.392578125
48437.70784729774,-4818.8544921875
